accountsservice 23.13.9-2
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-5
alsa-utils 1.2.15.1-1
arc-gtk-theme-eos 20221218-2
aspell 0.60.8.1-2
aspell-de 20161207.7.0-2
awesome 4.3-6
b43-fwcutter 019-6
base 3-2
base-devel 1-2
bash-completion 2.17.0-2
bind 9.20.17-1
blueman 2.4.6-1
bluez 5.85-1
bluez-utils 5.85-1
btrfs-progs 6.17.1-1
cantarell-fonts 1:0.311-1
cryptsetup 2.8.3-1
cups 2:2.4.16-1
cups-browsed 2.1.1-1
cups-filters 2.0.1-2
cups-pdf 3.0.2-1
device-mapper 2.03.38-1
diffutils 3.12-2
dmenu 5.4-1
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.91-1
dosfstools 4.2-5
downgrade 11.5.5-1
dracut 109_eos-1
dropbox 238.4.6075-1
duf 0.9.1-1
e2fsprogs 1.47.3-2
efibootmgr 18-3
efitools 1.9.2-6
endeavouros-branding 25.11.1.1-1
endeavouros-keyring 20231222-1
endeavouros-mirrorlist 25.11.1-1
endeavouros-xfce4-terminal-colors 6-1
eos-apps-info 25.12-1
eos-hooks 1.16.2-1
eos-lightdm-slick-theme 3.4-1
eos-log-tool 25.10-1
eos-packagelist 2.3.1-2
eos-qogir-icons 2025.02.15-3
eos-quickstart 1.4.1-1
eos-rankmirrors 25.11.4-1
eos-settings-xfce4 3.2-1
ethtool 1:6.15-1
exfatprogs 1.3.1-1
exo 4.20.0-2
f2fs-tools 1.16.0-3
ffmpegthumbnailer 2.3.0-1
file-roller 44.6-1
firefox 146.0.1-1
firefox-i18n-de 146.0.1-1
firewalld 2.4.0-1
foomatic-db 3:20251122-1
foomatic-db-engine 5:20200131-2
foomatic-db-gutenprint-ppds 5.3.5-1
foomatic-db-nonfree 3:20251122-1
foomatic-db-nonfree-ppds 3:20251122-1
foomatic-db-ppds 3:20251122-1
galculator 2.1.4-10
garcon 4.20.0-2
ghostscript 10.06.0-1
git 2.52.0-2
glances 4.4.1-2
gsfonts 20200910-6
gst-libav 1.26.10-1
gst-plugin-pipewire 1:1.4.9-2
gst-plugins-bad 1.26.10-1
gst-plugins-ugly 1.26.10-1
gutenprint 5.3.5-1
gvfs 1.58.0-2
gvfs-afc 1.58.0-2
gvfs-gphoto2 1.58.0-2
gvfs-mtp 1.58.0-2
gvfs-nfs 1.58.0-2
gvfs-smb 1.58.0-2
haveged 1.9.19-1
hdparm 9.65-3
hwdetect 2025.08.16.1333-1
hwinfo 25.0-2
inetutils 2.6-1
intel-ucode 20251111-1
inxi 3.3.40.1-1
iptables-nft 1:1.8.11-2
iwd 3.10-1
jfsutils 1.1.15-9
kde-applications-meta 25.08-1
kernel-install-for-dracut 1.14.1-2
less 1:685-1
libdvdcss 1.5.0-1
libgsf 1.14.54-1
libopenraw 0.3.7-2
libretro-mgba 9840-1
libretro-mupen64plus-next 1:454-1
libretro-snes9x 1:2651-1
libwnck3 43.3-1
lightdm 1:1.32.0-6
lightdm-slick-greeter 2.2.5-1
lilypond 2.24.4-5
linux 6.18.3.arch1-1
linux-firmware 20251125-2
linux-headers 6.18.3.arch1-1
linux-lts 6.12.63-1
linux-lts-headers 6.12.63-1
logrotate 3.22.0-1
lsb-release 2.0.r55.a25a4fc-1
lsscsi 0.32-2
lvm2 2.03.38-1
man-db 2.13.1-1
man-pages 6.16-1
mdadm 4.4-2
meld 3.22.3-1
mesa-utils 9.0.0-7
modemmanager 1.24.2-1
mousepad 0.6.5-1
mtools 1:4.0.49-1
nano 8.7-1
nano-syntax-highlighting 2025.07.01.r0.g256995b-2
neovim 0.11.5-1
netctl 1.29-2
network-manager-applet 1.36.0-1
networkmanager 1.54.3-1
networkmanager-openconnect 1.2.10-4
networkmanager-openvpn 1.12.5-1
nfs-utils 2.8.4-1
nilfs-utils 2.2.12-1
nitrogen 1.6.1-6
noto-fonts 1:2026.01.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2026.01.01-1
nss-mdns 0.15.1-2
ntfs-3g 2022.10.3-2
ntp 4.2.8.p18-6
obsidian 1.10.6-1
openssh 10.2p1-2
otf-libertinus 7.051-1
pacman-contrib 1.13.1-1
parole 4.20.0-1
pavucontrol 1:6.2-1
perl 5.42.0-1
picom 12.5-3
pipewire-alsa 1:1.4.9-2
pipewire-jack 1:1.4.9-2
pipewire-pulse 1:1.4.9-2
pkgfile 25-1
plasma-meta 6.5-1
plocate 1.1.23-1
poppler-glib 25.12.0-1
power-profiles-daemon 0.30-1
pv 1.10.3-1
python 3.13.11-1
python-defusedxml 0.7.1-7
python-packaging 25.0-1
python-pyqt6 6.10.1-1
rebuild-detector 4.4.5-1
reflector 2023-3
reflector-simple 2025.10-1
retroarch 1.22.2-1
retroarch-assets-ozone 1:538-1
retroarch-assets-xmb 1:538-1
ristretto 0.13.4-1
rsync 3.4.1-2
rtkit 0.14-1
s-nail 14.9.25-1
sddm 0.21.0-6
sddm-kcm 6.5.4-1
sg3_utils 1.48-1
smartmontools 7.5-1
sof-firmware 2025.12-1
splix 2.0.1-1
sudo 1.9.17.p2-1
sysfsutils 2.1.1-2
system-config-printer 1.5.18-5
systemd-sysvcompat 259-1
terminator 2.1.5-1
texinfo 7.2-1
texlive-basic 2025.2-3
texlive-binextra 2025.2-3
texlive-fontsextra 2025.2-3
texlive-fontsrecommended 2025.2-3
texlive-fontutils 2025.2-3
texlive-langeuropean 2025.2-3
texlive-langother 2025.2-3
texlive-latex 2025.2-3
texlive-latexextra 2025.2-3
texlive-luatex 2025.2-3
texlive-xetex 2025.2-3
thunar 4.20.6-1
thunar-archive-plugin 0.6.0-1
thunar-media-tags-plugin 0.6.0-1
thunar-volman 4.20.0-2
thunderbird 145.0-1
tldr 3.4.3-2
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-liberation 2.1.5-2
ttf-opensans 3.003-1
tumbler 4.20.1-1
unrar 1:7.2.3-1
unzip 6.0-23
upower 1.91.0-1
usb_modeswitch 2.6.2.20251207-1
usbutils 019-1
vi 1:070224-6
welcome 25.12.2-1
wget 1.25.0-3
which 2.23-1
wireplumber 0.5.13-1
wpa_supplicant 2:2.11-3
xclip 0.13-6
xdg-user-dirs 0.19-2
xdg-user-dirs-gtk 0.16-1
xdg-utils 1.2.1-2
xf86-input-libinput 1.5.0-1
xfce4-appfinder 4.20.0-2
xfce4-battery-plugin 1.2.0-1
xfce4-datetime-plugin 0.8.3-2
xfce4-mount-plugin 1.2.0-1
xfce4-netload-plugin 1.5.0-1
xfce4-notifyd 0.9.7-2
xfce4-panel 4.20.6-1
xfce4-power-manager 4.20.0-3
xfce4-pulseaudio-plugin 0.5.1-1
xfce4-screensaver 4.20.1-1
xfce4-screenshooter 1.11.3-3
xfce4-session 4.20.3-2
xfce4-settings 4.20.3-1
xfce4-taskmanager 1.6.0-1
xfce4-terminal 1.1.5-2
xfce4-wavelan-plugin 0.7.0-2
xfce4-weather-plugin 0.12.0-2
xfce4-whiskermenu-plugin 2.10.0-2
xfce4-xkb-plugin 0.9.0-1
xfconf 4.20.0-2
xfdesktop 4.20.1-3
xfsprogs 6.17.0-2
xfwm4 4.20.0-2
xfwm4-themes 4.10.0-6
xl2tpd 1.3.19-1
xorg-server 21.1.21-1
xorg-xdpyinfo 1.4.0-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkill 1.0.6-2
xorg-xrandr 1.5.3-1
xterm 406-1
yay 12.5.7-1
zathura 0.5.14-1
